customer,sum,std,m_avg_spent,first_active_in_days,last_active_in_days,nr_purchases,group
customer1,34010.0,37.67853331508154,2834.1666666666665,366.0,2.0,444.0,1
customer10,32089.0,13.940103176062035,2674.0833333333335,364.0,2.0,1130.0,1
customer100,1639.0,9.195831212474038,273.1666666666667,267.0,4.0,56.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1001,689.0,13.769129704027195,98.42857142857143,225.0,21.0,23.0,1
customer1002,195.0,10.36822067666386,97.5,245.0,235.0,6.0,1
customer1003,81.0,13.435028842544403,81.0,362.0,355.0,2.0,1
customer1004,50.0,0.001,50.0,83.0,83.0,1.0,0
customer1006,50.0,7.637626158259733,16.666666666666668,223.0,71.0,3.0,1
customer1007,225.0,17.67766952966369,225.0,284.0,280.0,2.0,1
customer1008,10.0,0.001,10.0,330.0,330.0,1.0,0
customer1009,250.0,0.001,250.0,58.0,58.0,1.0,0
customer101,10698.0,98.99872036857539,2674.5,274.0,148.0,65.0,1
customer1010,186.82999999999998,4.599593097945368,186.82999999999998,49.0,48.0,6.0,1
customer1011,100.0,0.001,100.0,304.0,304.0,1.0,0
customer1012,220.0,13.416407864998739,220.0,52.0,31.0,5.0,1
customer1013,319.0,15.222344767471936,39.875,289.0,33.0,14.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1015,50.0,0.001,50.0,253.0,253.0,1.0,0
customer1016,920.0,32.65986323710904,920.0,289.0,277.0,6.0,1
customer1017,100.0,17.320508075688775,100.0,136.0,133.0,4.0,1
customer1018,25.0,0.001,25.0,20.0,20.0,1.0,0
customer1019,1800.0,100.00000000000001,1800.0,327.0,327.0,4.0,1
customer102,4760.27,9.188527508944038,595.03375,366.0,98.0,186.0,1
customer1020,3400.0,103.27955589886444,3400.0,57.0,40.0,15.0,1
customer1021,250.0,0.001,250.0,362.0,362.0,1.0,0
customer1022,10.0,0.001,10.0,196.0,196.0,1.0,0
customer1023,500.0,13.847680013570567,250.0,42.0,20.0,14.0,1
customer1024,25.0,3.5355339059327378,25.0,56.0,56.0,2.0,1
customer1025,70.0,5.0,70.0,161.0,156.0,4.0,1
customer1026,50.0,0.001,50.0,230.0,230.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1028,30.1,0.05773502691896288,30.1,227.0,225.0,3.0,0
customer1029,50.0,0.001,50.0,245.0,245.0,1.0,0
customer103,1306.36,16.01181380139298,118.76,359.0,60.0,82.0,1
customer1030,310.6,17.14525532675965,103.53333333333335,226.0,141.0,14.0,1
customer1031,30.0,7.0710678118654755,30.0,209.0,204.0,2.0,1
customer1032,50.0,0.001,50.0,3.0,3.0,1.0,0
customer1033,9550.0,189.18361762179777,3183.3333333333335,87.0,6.0,17.0,1
customer1034,640.0,8.739200556894572,320.0,310.0,276.0,14.0,1
customer1035,730.0,13.328770629064536,243.33333333333334,330.0,169.0,23.0,1
customer1036,500.0,57.735026918962575,500.0,318.0,313.0,3.0,1
customer1037,50.0,7.637626158259733,25.0,112.0,78.0,3.0,1
customer1038,260.0,8.755950357709132,65.0,309.0,202.0,10.0,1
customer1039,550.0,24.748737341529164,550.0,14.0,8.0,8.0,1
customer104,780.0,18.101565309847288,390.0,354.0,318.0,25.0,1
customer1040,1239.9,22.340984822128604,177.12857142857143,366.0,26.0,32.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1042,50.0,0.001,50.0,35.0,35.0,1.0,0
customer1043,750.0,22.61335084333227,250.0,132.0,47.0,12.0,1
customer1044,540.0,58.49297882163783,135.0,264.0,75.0,8.0,1
customer1045,95.0,2.0412414523193148,47.5,305.0,273.0,6.0,1
customer1046,1650.0,75.82875444051551,825.0,253.0,235.0,5.0,1
customer1047,75.0,17.67766952966369,37.5,353.0,316.0,2.0,1
customer1048,10.0,0.001,10.0,276.0,276.0,1.0,0
customer1049,215.0,1.5075567228888176,107.5,320.0,116.0,11.0,1
customer105,4833.64,17.933315052126336,483.36400000000003,366.0,2.0,220.0,1
customer1050,500.0,0.001,500.0,145.0,145.0,1.0,0
customer1051,105.0,10.307764064044152,52.5,59.0,2.0,4.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1053,1149.0,3.478505426185217,1149.0,158.0,158.0,10.0,1
customer1054,330.0,4.879500364742666,330.0,309.0,308.0,7.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1056,10.0,0.001,10.0,201.0,201.0,1.0,0
customer1057,15.0,0.001,15.0,356.0,356.0,1.0,0
customer1058,70.0,5.0,70.0,361.0,338.0,4.0,1
customer1059,595.5,27.91915821804797,119.1,361.0,109.0,14.0,1
customer106,1500.0,37.553380809940535,750.0,216.0,211.0,13.0,1
customer1060,270.0,14.351041110399656,135.0,113.0,28.0,7.0,1
customer1061,2420.0,55.86114782438067,403.3333333333333,317.0,14.0,19.0,1
customer1062,75.0,5.0,75.0,211.0,208.0,3.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1064,20.0,0.001,20.0,64.0,64.0,1.0,0
customer1065,2750.0,182.1253492986159,1375.0,308.0,297.0,8.0,1
customer1066,50.0,0.001,50.0,24.0,24.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1068,250.0,25.000000000000004,83.33333333333333,211.0,119.0,4.0,1
customer1069,1144.0,62.9557667845335,228.8,232.0,22.0,8.0,1
customer107,82539.11,73.87219871998565,8253.911,356.0,2.0,523.0,1
customer1070,262.5,0.40048048065369574,65.625,338.0,157.0,26.0,1
customer1071,280.0,5.113099925649136,140.0,344.0,309.0,18.0,1
customer1072,40.0,0.001,40.0,101.0,101.0,1.0,0
customer1073,25.0,0.001,25.0,327.0,327.0,1.0,0
customer1074,323.57,23.771575953927275,161.785,363.0,316.0,10.0,1
