AccountIdentifier,month_x,month_y
customer1,2019-03,2020-02
customer10,2019-03,2020-02
customer100,2019-06,2020-02
customer1000,2019-05,2019-05
customer1001,2019-07,2020-02
customer1002,2019-06,2019-07
customer1003,2019-03,2019-03
customer1004,2019-12,2019-12
customer1005,2019-03,2019-03
customer1006,2019-07,2019-12
customer1007,2019-05,2019-05
customer1008,2019-04,2019-04
customer1009,2020-01,2020-01
customer101,2019-06,2019-10
customer1010,2020-01,2020-01
customer1011,2019-05,2019-05
customer1012,2020-01,2020-01
customer1013,2019-05,2020-01
customer1014,2019-03,2019-05
customer1015,2019-06,2019-06
customer1016,2019-05,2019-05
customer1017,2019-10,2019-10
customer1018,2020-02,2020-02
customer1019,2019-03,2019-04
customer102,2019-03,2019-11
customer1020,2020-01,2020-01
customer1021,2019-03,2019-03
customer1022,2019-08,2019-08
customer1023,2020-01,2020-02
customer1024,2020-01,2020-01
customer1025,2019-09,2019-09
customer1026,2019-07,2019-07
customer1027,2019-03,2019-03
customer1028,2019-07,2019-07
customer1029,2019-06,2019-06
customer103,2019-03,2020-01
customer1030,2019-07,2019-10
customer1031,2019-08,2019-08
customer1032,2020-02,2020-02
customer1033,2019-12,2020-02
customer1034,2019-04,2019-05
customer1035,2019-04,2019-09
customer1036,2019-04,2019-04
customer1037,2019-11,2019-12
customer1038,2019-04,2019-08
customer1039,2020-02,2020-02
customer104,2019-03,2019-04
customer1040,2019-03,2020-02
customer1041,2019-03,2019-03
customer1042,2020-01,2020-01
customer1043,2019-10,2020-01
customer1044,2019-06,2019-12
customer1045,2019-05,2019-06
customer1046,2019-06,2019-07
customer1047,2019-03,2019-04
customer1048,2019-05,2019-06
customer1049,2019-04,2019-11
customer105,2019-03,2020-02
customer1050,2019-10,2019-10
customer1051,2020-01,2020-02
customer1052,2019-06,2019-06
customer1053,2019-09,2019-09
customer1054,2019-04,2019-04
customer1055,2019-03,2019-03
customer1056,2019-08,2019-08
customer1057,2019-03,2019-03
customer1058,2019-03,2019-03
customer1059,2019-03,2019-11
customer106,2019-07,2019-08
customer1060,2019-11,2020-02
customer1061,2019-04,2020-02
customer1062,2019-08,2019-08
customer1063,2019-07,2019-07
customer1064,2019-12,2019-12
customer1065,2019-04,2019-05
customer1066,2020-02,2020-02
customer1067,2019-05,2019-06
customer1068,2019-08,2019-11
customer1069,2019-07,2020-02
customer107,2019-03,2020-02
customer1070,2019-03,2019-09
customer1071,2019-03,2019-04
customer1072,2019-11,2019-11
customer1073,2019-04,2019-04
customer1074,2019-03,2019-04
customer1075,2020-02,2020-02
customer1076,2019-03,2019-10
customer1077,2019-12,2020-01
customer1078,2019-09,2019-09
customer1079,2019-05,2019-08
customer108,2019-03,2020-01
customer1080,2019-09,2019-10
customer1081,2020-01,2020-01
customer1082,2019-03,2019-06
customer1083,2019-03,2019-03
customer1084,2020-01,2020-01
customer1085,2019-03,2019-12
customer1086,2019-04,2019-04
customer1087,2019-05,2019-06
customer1088,2019-11,2019-11
customer1089,2020-01,2020-01
customer109,2019-03,2020-02
customer1090,2019-03,2019-04
customer1091,2019-11,2020-02
customer1092,2019-11,2020-02
customer1093,2019-03,2020-02
customer1094,2019-03,2019-03
customer1095,2020-02,2020-02
customer1096,2019-03,2019-03
customer1097,2019-05,2019-05
customer1098,2019-03,2019-03
customer1099,2019-03,2019-04
customer11,2019-06,2020-02
customer110,2019-08,2019-08
customer1100,2019-03,2019-04
customer1101,2019-03,2019-07
customer1102,2019-06,2019-06
customer1103,2019-07,2019-07
customer1104,2020-02,2020-02
