month_x,month_y,AccountIdentifier
2019-03,2019-04,60
2019-03,2019-05,47
2019-03,2019-06,37
2019-03,2019-07,29
2019-03,2019-08,31
2019-03,2019-09,23
2019-03,2019-10,25
2019-03,2019-11,26
2019-03,2019-12,31
2019-03,2020-01,33
2019-03,2020-02,147
2019-04,2019-05,21
2019-04,2019-06,16
2019-04,2019-07,14
2019-04,2019-08,9
2019-04,2019-09,9
2019-04,2019-10,9
2019-04,2019-11,6
2019-04,2019-12,10
2019-04,2020-01,9
2019-04,2020-02,14
2019-05,2019-06,22
2019-05,2019-07,7
2019-05,2019-08,5
2019-05,2019-09,7
2019-05,2019-10,6
2019-05,2019-11,7
2019-05,2019-12,4
2019-05,2020-01,5
2019-05,2020-02,22
2019-06,2019-07,18
2019-06,2019-08,5
2019-06,2019-09,5
2019-06,2019-10,3
2019-06,2019-11,3
2019-06,2019-12,5
2019-06,2020-01,4
2019-06,2020-02,19
2019-07,2019-08,9
2019-07,2019-09,6
2019-07,2019-10,11
2019-07,2019-11,2
2019-07,2019-12,5
2019-07,2020-01,2
2019-07,2020-02,14
2019-08,2019-09,8
2019-08,2019-10,5
2019-08,2019-11,6
2019-08,2019-12,3
2019-08,2020-01,5
2019-08,2020-02,14
2019-09,2019-10,11
2019-09,2019-11,4
2019-09,2019-12,6
2019-09,2020-01,3
2019-09,2020-02,11
2019-10,2019-11,9
2019-10,2019-12,2
2019-10,2020-01,11
2019-10,2020-02,22
2019-11,2019-12,19
2019-11,2020-01,6
2019-11,2020-02,23
2019-12,2020-01,18
2019-12,2020-02,30
2020-01,2020-02,42
