customer,day,daily_amount,nr_trans
customer1,2019-03-01 00:00:00+00:00,120.0,3
customer1,2019-03-02 00:00:00+00:00,125.0,2
customer1,2019-03-03 00:00:00+00:00,200.0,2
customer1,2019-03-04 00:00:00+00:00,160.0,3
customer1,2019-03-05 00:00:00+00:00,240.0,3
customer1,2019-03-06 00:00:00+00:00,300.0,4
customer1,2019-03-07 00:00:00+00:00,200.0,2
customer1,2019-03-08 00:00:00+00:00,200.0,2
customer1,2019-03-09 00:00:00+00:00,200.0,3
customer1,2019-03-15 00:00:00+00:00,85.0,3
customer1,2019-03-16 00:00:00+00:00,25.0,1
customer1,2019-03-17 00:00:00+00:00,35.0,2
customer1,2019-03-29 00:00:00+00:00,140.0,3
customer1,2019-03-30 00:00:00+00:00,160.0,3
customer1,2019-03-31 00:00:00+00:00,160.0,2
customer1,2019-04-01 00:00:00+00:00,60.0,1
customer1,2019-04-02 00:00:00+00:00,150.0,2
customer1,2019-04-03 00:00:00+00:00,80.0,2
customer1,2019-04-04 00:00:00+00:00,100.0,2
customer1,2019-04-05 00:00:00+00:00,25.0,1
customer1,2019-04-12 00:00:00+00:00,80.0,2
customer1,2019-04-13 00:00:00+00:00,50.0,2
customer1,2019-04-26 00:00:00+00:00,75.0,2
customer1,2019-04-27 00:00:00+00:00,210.0,3
customer1,2019-04-28 00:00:00+00:00,210.0,3
customer1,2019-04-29 00:00:00+00:00,120.0,2
customer1,2019-04-30 00:00:00+00:00,90.0,2
customer1,2019-05-01 00:00:00+00:00,200.0,3
customer1,2019-05-02 00:00:00+00:00,130.0,3
customer1,2019-05-03 00:00:00+00:00,50.0,1
customer1,2019-05-10 00:00:00+00:00,80.0,2
customer1,2019-05-11 00:00:00+00:00,30.0,2
customer1,2019-05-12 00:00:00+00:00,100.0,2
customer1,2019-05-13 00:00:00+00:00,100.0,2
customer1,2019-05-14 00:00:00+00:00,80.0,2
customer1,2019-05-15 00:00:00+00:00,40.0,1
customer1,2019-05-18 00:00:00+00:00,160.0,4
customer1,2019-05-24 00:00:00+00:00,415.0,5
customer1,2019-05-25 00:00:00+00:00,340.0,4
customer1,2019-05-26 00:00:00+00:00,300.0,4
customer1,2019-05-27 00:00:00+00:00,260.0,3
customer1,2019-05-28 00:00:00+00:00,220.0,3
customer1,2019-05-29 00:00:00+00:00,160.0,2
customer1,2019-05-30 00:00:00+00:00,110.0,3
customer1,2019-06-01 00:00:00+00:00,165.0,3
customer1,2019-06-02 00:00:00+00:00,40.0,1
customer1,2019-06-07 00:00:00+00:00,200.0,3
customer1,2019-06-08 00:00:00+00:00,490.0,5
customer1,2019-06-09 00:00:00+00:00,300.0,3
customer1,2019-06-10 00:00:00+00:00,115.0,2
customer1,2019-06-11 00:00:00+00:00,100.0,1
customer1,2019-06-12 00:00:00+00:00,90.0,1
customer1,2019-06-21 00:00:00+00:00,250.0,3
customer1,2019-06-22 00:00:00+00:00,200.0,2
customer1,2019-06-23 00:00:00+00:00,200.0,2
customer1,2019-06-24 00:00:00+00:00,400.0,4
customer1,2019-06-25 00:00:00+00:00,450.0,5
customer1,2019-06-26 00:00:00+00:00,90.0,1
customer1,2019-07-04 00:00:00+00:00,100.0,1
customer1,2019-07-05 00:00:00+00:00,410.0,5
customer1,2019-07-06 00:00:00+00:00,200.0,2
customer1,2019-07-07 00:00:00+00:00,230.0,3
customer1,2019-07-08 00:00:00+00:00,100.0,1
customer1,2019-07-09 00:00:00+00:00,110.0,2
customer1,2019-07-10 00:00:00+00:00,40.0,1
customer1,2019-07-19 00:00:00+00:00,150.0,2
customer1,2019-07-20 00:00:00+00:00,610.0,7
customer1,2019-07-21 00:00:00+00:00,245.0,3
customer1,2019-07-22 00:00:00+00:00,350.0,5
customer1,2019-07-23 00:00:00+00:00,100.0,1
customer1,2019-07-24 00:00:00+00:00,300.0,3
customer1,2019-07-25 00:00:00+00:00,90.0,1
customer1,2019-07-26 00:00:00+00:00,50.0,1
customer1,2019-07-27 00:00:00+00:00,50.0,1
customer1,2019-08-02 00:00:00+00:00,280.0,4
customer1,2019-08-03 00:00:00+00:00,100.0,1
customer1,2019-08-04 00:00:00+00:00,100.0,1
customer1,2019-08-05 00:00:00+00:00,400.0,5
customer1,2019-08-06 00:00:00+00:00,90.0,1
customer1,2019-08-07 00:00:00+00:00,50.0,1
customer1,2019-08-10 00:00:00+00:00,400.0,4
customer1,2019-08-12 00:00:00+00:00,600.0,5
customer1,2019-08-14 00:00:00+00:00,260.0,4
customer1,2019-08-15 00:00:00+00:00,100.0,1
customer1,2019-08-16 00:00:00+00:00,500.0,4
customer1,2019-08-17 00:00:00+00:00,500.0,4
customer1,2019-08-18 00:00:00+00:00,700.0,5
customer1,2019-08-19 00:00:00+00:00,400.0,3
customer1,2019-08-20 00:00:00+00:00,600.0,3
customer1,2019-08-21 00:00:00+00:00,200.0,2
customer1,2019-08-22 00:00:00+00:00,200.0,2
customer1,2019-08-23 00:00:00+00:00,400.0,3
customer1,2019-08-24 00:00:00+00:00,170.0,3
customer1,2019-08-30 00:00:00+00:00,350.0,4
customer1,2019-08-31 00:00:00+00:00,300.0,3
customer1,2019-09-01 00:00:00+00:00,400.0,3
customer1,2019-09-02 00:00:00+00:00,200.0,2
customer1,2019-09-04 00:00:00+00:00,30.0,1
customer1,2019-09-05 00:00:00+00:00,100.0,2
customer1,2019-09-13 00:00:00+00:00,310.0,4
customer1,2019-09-14 00:00:00+00:00,80.0,2
customer1,2019-09-27 00:00:00+00:00,250.0,3
customer1,2019-09-28 00:00:00+00:00,250.0,3
customer1,2019-09-29 00:00:00+00:00,60.0,3
customer1,2019-10-11 00:00:00+00:00,50.0,1
customer1,2019-10-12 00:00:00+00:00,100.0,1
customer1,2019-10-13 00:00:00+00:00,10.0,1
customer1,2019-10-15 00:00:00+00:00,100.0,1
customer1,2019-10-16 00:00:00+00:00,200.0,2
customer1,2019-10-17 00:00:00+00:00,200.0,2
customer1,2019-10-25 00:00:00+00:00,150.0,2
customer1,2019-10-26 00:00:00+00:00,350.0,4
customer1,2019-10-27 00:00:00+00:00,300.0,3
customer1,2019-10-28 00:00:00+00:00,100.0,1
customer1,2019-10-29 00:00:00+00:00,200.0,2
customer1,2019-10-30 00:00:00+00:00,460.0,4
customer1,2019-10-31 00:00:00+00:00,230.0,3
customer1,2019-11-08 00:00:00+00:00,100.0,2
customer1,2019-11-09 00:00:00+00:00,200.0,5
customer1,2019-11-11 00:00:00+00:00,20.0,1
customer1,2019-11-22 00:00:00+00:00,220.0,3
